lemma	pos	#_semcor	#_omsti	#_omsti_sample
minute	n	76	539	539
cup	n	20	0	0
chairman	n	8	0	0
kitty	n	0	0	0
CEO	n	0	0	0
Euro	n	0	0	0
united_states_supreme_court	n	0	0	0
justice	n	22	1944	1000
Cleveland	n	0	0	0
shortage	n	6	0	0
referee	n	1	0	0
climate_change	n	0	0	0
winner	n	2	0	0
human_right	n	0	0	0
negotiator	n	0	0	0
mortgage	n	4	0	0
industry	n	71	991	991
war	n	69	154	154
reality	n	39	0	0
consensus	n	3	0	0
pound	n	44	278	278
labor	n	39	855	855
find	n	0	0	0
national_institutes_of_health	n	0	0	0
reference	n	34	1052	1000
rule	n	47	978	978
long_time	n	13	0	0
activist	n	0	0	0
unemployment	n	3	0	0
researcher	n	3	0	0
verdict	n	1	0	0
news	n	35	487	487
flexibility	n	9	0	0
amount	n	103	1040	1000
candidate	n	25	885	885
regulator	n	1	0	0
participant	n	1	0	0
light	n	101	457	457
impact	n	18	1383	1000
fine	n	0	0	0
conservative	n	3	0	0
Nicaragua	n	0	0	0
strategy	n	11	0	0
money	n	91	948	948
average	n	13	0	0
restriction	n	6	0	0
new_york_stock_exchange	n	0	0	0
sense	n	72	1138	1000
major_power	n	0	0	0
Germany	n	0	0	0
flood	n	9	0	0
credit_union	n	0	0	0
Right	n	0	0	0
state	n	190	2000	1000
bank	n	37	1090	1000
camera	n	22	0	0
sport	n	17	0	0
sector	n	12	0	0
ground	n	57	1700	1000
mandate	n	1	0	0
recession	n	1	0	0
subject	n	58	1130	1000
challenger	n	0	0	0
administration	n	14	944	944
movie	n	26	0	0
work	n	209	1614	1000
fault_line	n	0	0	0
misery	n	8	0	0
row	n	12	0	0
Treasury	n	0	0	0
replacement	n	9	0	0
stake	n	3	0	0
life	n	234	2199	1000
judge	n	8	0	0
heavyweight	n	0	0	0
Copenhagen	n	0	0	0
ink	n	2	0	0
morning	n	74	708	708
broadcaster	n	0	0	0
publication	n	11	884	884
responsibility	n	18	980	980
law_firm	n	0	0	0
circumstance	n	41	650	650
biochemistry	n	0	0	0
trend	n	20	505	505
suspension	n	6	0	0
Institute	n	0	0	0
expenditure	n	22	0	0
safety_net	n	0	0	0
recrimination	n	2	0	0
outcome	n	18	0	0
investor	n	3	0	0
Peru	n	0	0	0
global_warming	n	0	0	0
picture	n	81	1197	1000
microbiology	n	0	0	0
receipt	n	5	0	0
involvement	n	6	0	0
acceptance	n	9	0	0
occasion	n	22	1331	1000
economic_commission_for_latin_america	n	0	0	0
culpability	n	0	0	0
France	n	0	0	0
behalf	n	6	0	0
principle	n	36	254	254
chemical	n	6	0	0
death_penalty	n	0	0	0
argument	n	39	1377	1000
san_jose	n	0	0	0
index	n	2	1121	1000
half_a_dozen	n	1	0	0
commitment	n	5	0	0
debate	n	17	0	0
sanction	n	3	0	0
China	n	0	0	0
machinery	n	15	0	0
code_of_conduct	n	1	0	0
poll	n	4	0	0
high	n	5	0	0
US	n	0	0	0
organization	n	55	0	0
court	n	52	461	461
trial_judge	n	1	0	0
past	n	42	1155	1000
aspect	n	44	475	475
passion	n	4	0	0
string	n	11	0	0
Bank	n	0	0	0
whole	n	8	461	461
nutrient	n	1	0	0
fact	n	124	487	487
imposition	n	2	0	0
editor	n	17	440	440
advice	n	15	0	0
situation	n	83	980	980
Organisation	n	0	0	0
sulfur	n	1	0	0
democracy	n	10	0	0
top	n	48	186	186
reporter	n	10	0	0
responsiveness	n	2	0	0
element	n	48	611	611
NASA	n	0	0	0
circle	n	26	264	264
trick	n	6	0	0
news_media	n	0	0	0
structure	n	47	501	501
level	n	112	1332	1000
defense_lawyer	n	0	0	0
danger	n	21	0	0
reserve	n	3	0	0
Earth	n	0	0	0
photograph	n	17	0	0
term	n	55	1467	1000
event	n	66	602	602
ruling	n	4	0	0
security	n	23	2473	1000
talent	n	18	700	700
election	n	68	919	919
bricklayer	n	1	0	0
planet	n	22	0	0
first_period	n	0	0	0
wittiness	n	0	0	0
option	n	0	0	0
Migration	n	0	0	0
loss	n	43	1053	1000
urgency	n	3	0	0
representative	n	16	0	0
low	n	0	0	0
progress	n	35	832	832
transaction	n	2	0	0
integrity	n	4	0	0
shock	n	10	0	0
contributor	n	2	0	0
murder	n	43	0	0
group	n	1329	498	498
complementarity	n	0	0	0
deal	n	10	1722	1000
proportion	n	14	0	0
temperature	n	92	484	484
whistle	n	0	0	0
united_nations	n	4	0	0
closing	n	2	0	0
World	n	0	0	0
team	n	47	500	500
Ecuador	n	0	0	0
common_sense	n	2	0	0
month	n	104	475	475
second	n	31	602	602
instability	n	2	0	0
social_system	n	2	0	0
battle	n	20	787	787
department_of_energy	n	0	0	0
number_one	n	0	0	0
specialist	n	20	0	0
member	n	74	998	998
rival	n	1	0	0
science	n	6	487	487
freddie_mac	n	0	0	0
oil_company	n	0	0	0
move	n	12	0	0
issue	n	29	1383	1000
today	n	78	994	994
appearance	n	22	824	824
talk	n	12	0	0
crisis	n	13	499	499
time	n	511	1984	1000
inspiration	n	2	0	0
dollar	n	34	185	185
familiarity	n	4	0	0
message	n	30	260	260
sort	n	61	104	104
start	n	17	0	0
attendance	n	2	0	0
attitude	n	66	438	438
U.S.	n	0	0	0
possibility	n	54	559	559
trial_court	n	1	0	0
indication	n	13	0	0
lead	n	21	0	0
knowledge	n	39	0	0
triumph	n	11	0	0
assistance	n	29	952	952
club	n	27	493	493
bacterium	n	0	0	0
number	n	206	1724	1000
performance	n	59	1288	1000
week	n	106	801	801
applause	n	9	0	0
open_university	n	0	0	0
trade	n	43	955	955
outline	n	6	0	0
liability	n	1	0	0
example	n	65	1536	1000
bid	n	1	0	0
european_union	n	0	0	0
treaty	n	3	0	0
giant	n	10	0	0
system	n	112	1715	1000
microbe	n	0	0	0
field	n	111	1213	1000
period	n	93	849	849
bond	n	34	237	237
transmission	n	6	0	0
range	n	64	971	971
age	n	104	1616	1000
presence	n	35	570	570
business	n	95	1040	1000
delegate	n	1	0	0
sale	n	48	490	490
daughter	n	23	0	0
wave	n	54	427	427
respondent	n	0	0	0
opportunity	n	59	0	0
effect	n	116	1379	1000
horde	n	1	0	0
official	n	26	383	383
season	n	54	70	70
greenhouse_gas	n	0	0	0
yield	n	6	0	0
boost	n	4	0	0
Tuesday	n	0	0	0
routine	n	13	0	0
problem	n	199	500	500
south_america	n	3	0	0
Europe	n	0	0	0
decade	n	25	492	492
focus	n	12	0	0
professor	n	19	0	0
risk	n	5	0	0
ethic	n	2	0	0
healthcare	n	0	0	0
Brazil	n	0	0	0
firm	n	26	0	0
path	n	19	0	0
military	n	1	0	0
wall_street	n	2	0	0
lawyer	n	15	0	0
migrant	n	0	0	0
summer	n	57	0	0
compensation	n	6	0	0
indicator	n	13	0	0
burden	n	7	0	0
Yahoo	n	0	0	0
relative	n	9	0	0
wage	n	70	0	0
testimony	n	11	0	0
charge	n	29	1395	1000
language	n	56	411	411
consumer	n	10	0	0
loan	n	19	496	496
perimeter	n	0	0	0
litigation	n	1	0	0
record	n	69	502	502
Justice	n	0	0	0
percent	n	64	0	0
evidence	n	83	1041	1000
September	n	0	0	0
life_form	n	0	0	0
text	n	53	525	525
concern	n	38	1649	1000
unemployed	n	0	0	0
case	n	164	2546	1000
infrastructure	n	0	0	0
book	n	59	1056	1000
will	n	24	651	651
guest_of_honor	n	0	0	0
teamwork	n	0	0	0
question	n	133	1494	1000
law	n	92	1072	1000
matter	n	65	1969	1000
phosphorus	n	1	0	0
race	n	15	489	489
scope	n	15	0	0
claim	n	48	1453	1000
contribution	n	21	1481	1000
Astrobiology	n	0	0	0
participation	n	13	0	0
adaptation	n	1	0	0
juror	n	2	0	0
fundraiser	n	0	0	0
goal	n	34	490	490
trial	n	48	1346	1000
new_haven	n	1	0	0
dow_jones	n	0	0	0
indetermination	n	0	0	0
government	n	107	774	774
critic	n	8	0	0
popularity	n	6	0	0
December	n	0	0	0
uproar	n	1	0	0
economist	n	4	0	0
Thursday	n	0	0	0
united_kingdom	n	2	0	0
child	n	206	997	997
Future	n	0	0	0
settlement	n	14	0	0
shackle	n	2	0	0
announcement	n	6	0	0
economy	n	23	371	371
house	n	154	992	992
courthouse	n	0	0	0
woe	n	2	0	0
part	n	202	1123	1000
advantage	n	23	968	968
country	n	116	559	559
ministry	n	2	0	0
phase	n	47	517	517
type	n	142	500	500
limit	n	29	0	0
observer	n	20	0	0
oil_industry	n	0	0	0
Wednesday	n	0	0	0
sponsor	n	4	0	0
bush_administration	n	0	0	0
worker	n	37	496	496
trouble	n	52	41	41
fate	n	10	0	0
assumption	n	29	771	771
spokesman	n	1	0	0
emotion	n	44	0	0
century	n	103	497	497
contract	n	21	496	496
set	n	50	557	557
barrel	n	7	0	0
atmosphere	n	36	956	956
home	n	111	1704	1000
hard_time	n	1	0	0
visit	n	22	0	0
program	n	150	741	741
victim	n	12	0	0
student	n	80	495	495
disadvantage	n	3	0	0
trading	n	2	0	0
osteopath	n	0	0	0
Nasdaq	n	0	0	0
process	n	62	503	503
chart	n	9	0	0
history	n	104	496	496
view	n	69	1002	1000
region	n	69	118	118
legal_fraud	n	0	0	0
fraud	n	9	0	0
news_conference	n	2	0	0
central_america	n	0	0	0
bankruptcy	n	2	0	0
space	n	50	2267	1000
appeal	n	20	0	0
rallying_cry	n	0	0	0
spite	n	1	0	0
thing	n	274	1471	1000
communication	n	36	1036	1000
nothing	n	135	335	335
ethos	n	2	0	0
speaker	n	12	0	0
proposal	n	17	104	104
trainer	n	0	0	0
degree	n	67	1040	1000
generosity	n	1	0	0
organism	n	9	0	0
prosecutor	n	4	0	0
rape	n	0	0	0
obligation	n	14	0	0
Calif.	n	0	0	0
line	n	124	5862	1000
robustness	n	1	0	0
crush	n	1	0	0
private_enterprise	n	0	0	0
goalkeeper	n	0	0	0
hard_line	n	0	0	0
behavior	n	46	223	223
help	n	25	23	23
dominican_republic	n	1	0	0
half	n	42	497	497
analyst	n	9	0	0
deposit	n	2	0	0
March	n	0	0	0
hymn	n	5	0	0
execution	n	6	0	0
trajectory	n	0	0	0
October	n	0	0	0
momentum	n	9	0	0
drop	n	18	0	0
lot	n	19	1516	1000
championship	n	2	0	0
bed	n	51	277	277
lifetime	n	2	0	0
document	n	4	0	0
oxygen	n	39	0	0
unit	n	43	988	988
upper_limit	n	3	0	0
jury	n	23	541	541
petition	n	6	0	0
place	n	157	1809	1000
family	n	135	1325	1000
wind	n	21	5	5
promise	n	15	0	0
attorney	n	8	0	0
Venezuela	n	0	0	0
worry	n	14	0	0
absence	n	31	0	0
England	n	0	0	0
finding	n	20	0	0
scorer	n	0	0	0
fee	n	11	0	0
emission	n	6	0	0
carbon	n	6	0	0
Israel	n	0	0	0
expulsion	n	1	0	0
opinion	n	30	934	934
viewpoint	n	11	0	0
training	n	71	499	499
cash	n	8	0	0
Mexico	n	0	0	0
nation	n	43	984	984
dramatization	n	0	0	0
hydrogen	n	6	0	0
practice	n	33	1044	1000
game	n	83	527	527
invasion	n	4	0	0
market_economy	n	0	0	0
peak	n	7	0	0
intensity	n	41	627	627
diversity	n	2	0	0
plane	n	39	739	739
carnival	n	0	0	0
recovery	n	7	0	0
poverty	n	6	0	0
punishment	n	11	0	0
harassment	n	0	0	0
difference	n	91	1749	1000
study	n	131	2137	1000
net	n	6	0	0
side	n	139	1537	1000
e-mail	n	0	0	0
tone	n	55	289	289
leadership	n	22	1474	1000
backing	n	3	0	0
nitrogen	n	5	0	0
round	n	11	0	0
substitution	n	1	0	0
relation	n	25	497	497
representation	n	21	0	0
reaction	n	55	123	123
violation	n	11	0	0
interview	n	9	0	0
economic_growth	n	0	0	0
india	n	5	0	0
budget	n	7	245	245
immigrant	n	5	0	0
plumber	n	3	0	0
bonus	n	1	0	0
posturing	n	0	0	0
predominance	n	1	0	0
card	n	8	0	0
wife	n	120	0	0
reason	n	107	954	954
dinner	n	30	68	68
search	n	17	463	463
player	n	24	0	0
honor	n	16	0	0
June	n	0	0	0
wrist	n	9	0	0
return	n	48	1480	1000
big_league	n	3	0	0
congestion	n	2	0	0
capability	n	8	0	0
united_states	n	100	0	0
controversy	n	8	0	0
president	n	31	1359	1000
adviser	n	0	0	0
minister	n	10	0	0
mexico	n	3	0	0
par	n	3	0	0
experience	n	125	1159	1000
league	n	11	0	0
auction	n	0	0	0
flow	n	34	0	0
football	n	11	0	0
television_show	n	0	0	0
arsenic	n	1	0	0
anaesthetist	n	0	0	0
earth	n	74	496	496
accumulation	n	4	0	0
Connecticut	n	0	0	0
advance	n	7	0	0
Russia	n	0	0	0
distinction	n	23	0	0
vice_president	n	10	0	0
reduction	n	20	0	0
suit	n	15	598	598
cycle	n	10	0	0
act	n	67	561	561
support	n	38	704	704
quarter	n	11	0	0
shareholder	n	0	0	0
power	n	103	974	974
united_states_senate	n	0	0	0
paper	n	71	1857	1000
employment	n	25	0	0
indifference	n	6	0	0
regard	n	7	0	0
coverage	n	2	0	0
individual	n	62	667	667
intention	n	11	0	0
overhaul	n	0	0	0
American	n	0	0	0
selection	n	16	0	0
Washington	n	0	0	0
growth	n	63	1192	1000
arrival	n	6	0	0
mood	n	14	0	0
football_player	n	1	0	0
cost	n	85	992	992
breach	n	1	0	0
show	n	25	961	961
London	n	0	0	0
leader	n	23	500	500
crime	n	17	0	0
contrast	n	38	0	0
Spain	n	0	0	0
area	n	215	1511	1000
basis	n	66	991	991
moon	n	29	0	0
notion	n	29	0	0
banality	n	0	0	0
USA	n	0	0	0
party	n	61	1098	1000
campaign	n	16	862	862
world_cup	n	0	0	0
Labor	n	0	0	0
discovery	n	21	0	0
development	n	133	924	924
market	n	26	558	558
immigration	n	1	0	0
creation	n	13	0	0
protection	n	24	964	964
oil	n	15	503	503
world	n	157	192	192
cut	n	3	0	0
discipline	n	7	0	0
application	n	29	493	493
way	n	298	1697	1000
border	n	7	0	0
Canon	n	0	0	0
imperative	n	0	0	0
damage	n	13	0	0
status	n	21	983	983
institution	n	30	1151	1000
action	n	130	1933	1000
compatibility	n	0	0	0
year	n	446	993	993
Left	n	0	0	0
weekend	n	13	0	0
conference	n	15	498	498
speculation	n	1	0	0
filing	n	3	0	0
New_York	n	0	0	0
asset	n	1	0	0
increase	n	83	0	0
swing	n	1	0	0
last_word	n	0	0	0
addition	n	11	0	0
estimate	n	23	0	0
technology	n	14	0	0
working_group	n	0	0	0
sum	n	19	0	0
Internet	n	0	0	0
value	n	132	1438	1000
Judge	n	0	0	0
deforestation	n	0	0	0
waiter	n	4	0	0
League	n	0	0	0
conviction	n	17	751	751
table	n	81	270	270
police	n	34	0	0
right	n	63	1032	1000
volume	n	51	1789	1000
hotel	n	39	0	0
legal_principle	n	0	0	0
point	n	143	2050	1000
environment	n	20	0	0
benefit	n	31	990	990
legal_action	n	0	0	0
hand	n	177	770	770
bombing	n	2	0	0
company	n	90	527	527
play	n	61	223	223
pressure	n	102	326	326
America	n	0	0	0
offer	n	2	0	0
code	n	10	0	0
victory	n	35	0	0
door	n	137	59	59
mortgage-backed_security	n	0	0	0
violence	n	16	0	0
Friday	n	0	0	0
decision	n	38	500	500
output	n	8	0	0
pay	n	14	0	0
interest	n	140	1969	1000
reporting	n	1	0	0
assistant_professor	n	0	0	0
November	n	0	0	0
costa_rica	n	0	0	0
china	n	9	0	0
foreign_minister	n	0	0	0
climate	n	8	0	0
halftime	n	1	0	0
envoy	n	0	0	0
Senate	n	0	0	0
competition	n	25	0	0
policy	n	60	918	918
lawbreaker	n	0	0	0
society	n	92	990	990
result	n	131	950	950
role	n	58	474	474
meeting	n	38	1087	1000
spirit	n	111	252	252
appeals_court	n	0	0	0
Google	n	0	0	0
detail	n	42	0	0
impartiality	n	0	0	0
idea	n	151	951	951
push	n	5	0	0
hour	n	110	977	977
directive	n	1	0	0
solicitor_general	n	0	0	0
success	n	65	967	967
plan	n	68	175	175
change	n	117	1477	1000
basket	n	8	0	0
billion	n	1	0	0
misconduct	n	0	0	0
day	n	334	1030	1000
obstacle	n	6	0	0
one	n	45	952	952
regulation	n	12	0	0
Panama	n	0	0	0
